card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
391,What are threat feeds and why use them?,"Threat feeds provide organizations with a steady stream of raw data. By analyzing threat feeds, security administrators can learn of current threats. They can then use this knowledge to search through the network, looking for signs of these threats. This is known as threat hunting.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Threat feeds and threat hunting
392,What are three forms of ICS?,"There are several forms of ICS, including distributed control systems (DCSs), programmable logic controllers (PLCs), and supervisory control and data acquisition (SCADA).",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,ICS forms DCS/PLC/SCADA
393,What are three methods used to manage and control access to the communication medium in LANs?,"Arbitration, deconfliction, and contention‐based",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,LAN media access methods
394,What are three remote access authentication mechanisms or AAA services?,"RADIUS, DIAMETER, and TACACS+",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,RADIUS/DIAMETER/TACACS+ AAA services
395,What are thrill attacks?,Thrill attacks are the attacks launched only for the fun of it.,19,Investigations and Ethics,D7,Security Operations,MEDIUM,Ch 19,Thrill attacks computer crime motivation
396,What are two forms of ARP poisoning?,ARP cache poisoning is caused by an attack responding to ARP broadcast queries in order to send back falsified replies. A second form of ARP cache poisoning is to create static ARP entries.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,ARP poisoning concerns
397,What are types of wireless antenna?,"Omnidirectional pole antennas, as well as many directional antennas, such as Yagi, cantenna, panel, and parabolic",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Wireless antenna types
398,What are user behavior analytics (UBA) and user and entity behavior analytics (UEBA)?,"User behavior analytics (UBA) and user and entity behavior analytics (UEBA) are the concepts of analyzing the behavior of users, subjects, visitors, customers, etc. for some specific goal or purpose. Information collected from UBA/UEBA monitoring can be used to improve personnel security policies, procedures, training, and related security oversight programs",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,UBA/UEBA personnel security monitoring
399,What are VDI and VMI?,Virtual desktop infrastructure (VDI) is a means to reduce the security risk and performance requirements of end devices by hosting desktop/workstation OS virtual machines on central servers that are remotely accessed by users. Virtual mobile infrastructure (VMI) is where the OS of a mobile device is virtualized on a central server.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,VDI/VMI virtualization mobile
400,What are vulnerability scans?,"Vulnerability scans automatically probe systems, applications, and networks looking for weaknesses that may be exploited by an attacker. The scanning tools used in these tests provide quick, point‐and‐click tests that perform otherwise tedious tasks without requiring manual intervention.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Vulnerability scans assessment
401,What are web vulnerability scanners?,"Web vulnerability scanners are special‐purpose tools that scour web applications for known vulnerabilities. They play an important role in any security testing program because they may discover flaws not visible to network vulnerability scanners. When an administrator runs a web application scan, the tool probes the web application using automated techniques that manipulate inputs and other parameters to identify web vulnerabilities.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Web vulnerability scanners assessment
402,What attack collects numerous low‐level security items or low‐value items and combines them to create something of a higher security level or value?,Aggregation,14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,Aggregation access control attack
403,What attack is often successful against polyalphabetic substitution ciphers?,Period analysis,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,Period analysis cryptographic attack
404,What attack is often successful against substitution ciphers?,Frequency analysis,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,Frequency analysis cryptographic attack
